word,phonetic,mean,comment
自主,じしゅ,tự chủ tự giác,
深刻,しんこく,sự nghiêm trọng,
万一,まんいち,nếu lỡ vạn bất đắc dĩ,
確保,かくほ,sự bảo đảm cam đoan,
容器,ようき,đồ đựng .,
徒歩,とほ,sự đi bộ,
独特,どくとく,sự độc đáo,
自体,じたい,sự tự thân (của vậtng đang được nhắc tới),
特有,とくゆう,sự độc nhất (đặc trưng),
刺激,しげき,sự kích thích,
海産,かいさん,hải sản,
応募,おうぼ,đăng ký; ứng tuyển,
採用,さいよう,tuyển dụng,
原稿,げんこう,bản nháp,
継続,けいぞく,kế tục sự tiếp tục,
支給,しきゅう,sụ trợ cấp,
厳重,げんじゅう,nghiêm trọng nghiêm ngặt,
水平線,すいへいせん,đường chân trời mặt biển,
手品,てじな,trò chơi ảo thuật,
水族館,すいぞくかん,bể nuôi (cá) .thủy cung,
利口,りこう,thông minh lanh lợi khôn khéo,
推薦,すいせん,sự giới thiệu tiến cử,
要項,ようこう, các mục quan trọg,
手順,てじゅん,thứ tự trình tự,
乱暴,らんぼう,vô lễ thô lỗquấy rối,
役割,やくわり, vai trò,
地平線,ちへいせん,chân trời phương trời,
庶民,しょみん,dân đen dân thường,
改正,かいせい,sự thay đổi luật,
屋台,やたい,quầy hàng rong,
