word,phonetic,mean,comment
焙煎,ばいせん,rang ( cà phê),
要点,ようてん,điểm chính điểm trọng yếu,
途端,とたん,ngay khi vừa lúc,
前後,ぜんご,trên dưới khoảng...,
交代,こうたい,thay ca,
行為,こうい,hành vi,
電灯,でんとう,đèn điện điện quang,
頂上,ちょうじょう,đỉnh,
失望,しつぼう,sự thất vọng thất vọng,
苦情,くじょう,sự than phiền lời than phiền,
屋根,やね,mái nhà nóctrần (xe),
曖昧,あいまい,sự mơ hồ,
要領,ようりょう,skill mẹo thủ thuật,
秘書,ひしょ,thư ký,
答案,とうあん,đáp án bài làm,
突如,とつじょ,đột ngột,
配布,はいふ,sự phân phát cung cấp,
方々,ほうぼう,các mặt các nơi,
正常,せいじょう,sự bình thường (máy mócng),
温暖,おんだん,ấm ấm,
長方形,ちょうほうけい,hình chữ nhật hình chữ nhật,
正方形,せいほうけい,hình vuông,
三角,さんかく,tam giác tay ba,
祭日,さいじつ,ngày lễ (lịch đỏ),
行事,ぎょうじ,イベント sự kiện,
上等,じょうとう,có tính thượng đẳng cao cấp,
災厄,さいやく,tai ách tai ương,
一応,いちおう,nhất thời tạm thời,
廃棄,はいき,sự vứt bỏ、 phế bỏ,
気味,ぎみ,cảm thụ cảm giác,
